V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,Instructions,E2_SH_FLAT_FORW,E2_SH_FLAT_BACK,E2_TH_FLAT_FORW,E2_TH_FLAT_BACK,E2_SH_PUSH_FORW,E2_SH_PUSH_BACK,E2_TH_PUSH_FORW,E2_TWO_PUSH_BACK,VideoCompletion,VideoNTimes,VideoIssues,OpenEnded,GestureNotice,MathQuestion,TransitionPerson,Likeability,Approachability,Warm,Friendly,TransitionAQ,AQ1_face,AQ2_face,age,gender,handedness,language,ThankYou,DO-BR-FL_10,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,CONSENT   This study investigates language and perception. You will be asked to look at a picture...,"INSTRUCTIONS   On the next screen, you will see a video of a person. Please make sure that your a...",Response:,Response:,Response:,Response:,Response:,Response:,Response:,Response:,Were you able to view the video completely?,"If you were able to view the video, how many times did you view it?",Were there any video or audio issues that you were aware of?,"Any observations, thoughts, ideas you want to share with us about the person you just saw or the...",Did you notice the person's gestures?,What is 9 + 4?,The next four questions are about the person in the video:,The person in the video is likeable.  ,The person in the video is approachable.,The person in the video is warm.,The person in the video is friendly.,The next two questions are about yourself:,I find it easy to work out what someone is thinking or feeling just by looking at their face.,I find it difficult to work out people’s intentions.,What is your age?,What is your gender?,Are you left or right-handed?,What is your native language / your native languages?   Your native language(s) is what you spoke...,You completed our survey! Please follow the link below to retrieve the access code for this HIT:...,Display Order: Block Randomizer FL_10,LocationLatitude,LocationLongitude,LocationAccuracy,
R_xf2MgfuPVJ2q2Rj,Default Response Set,Anonymous,,,98.163.31.97,0,2019-07-04 09:24:14,2019-07-04 09:25:06,1,1,1,Monday,,,,,,,,Yes,1,No,No,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,28,male,right-handed,English,1,E2_SH_FLAT_FORW,37.30290222168,-79.932197570801,-1,
R_1rrETOe0ugrrTyW,Default Response Set,Anonymous,,,174.55.89.139,0,2019-07-04 09:20:41,2019-07-04 09:26:24,1,1,1,,,,,,,friday,,Yes,2,no,he had an accent and used his hands in a distracting way,Definitely yes,13,1,slightly disagree,slightly disagree,slightly disagree,slightly disagree,1,slightly agree,slightly disagree,39,female,right-handed,english,1,E2_TH_PUSH_FORW,39.760101318359,-76.674797058105,-1,
R_12QO0TMH8kVrSTa,Default Response Set,Anonymous,,,155.186.81.253,0,2019-07-04 09:16:02,2019-07-04 09:26:37,1,1,1,,monday,,,,,,,Yes,3,no,He spoke very fast with an accent and was kind of hard to understand.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,27,male,right-handed,English,1,E2_SH_FLAT_BACK,34.233703613281,-118.25360107422,-1,
R_1gcmiECUhzi76XC,Default Response Set,Anonymous,,,68.82.74.124,0,2019-07-04 09:26:08,2019-07-04 09:27:32,1,1,1,,,,,,7/8/2019,,,Yes,1,no,,Definitely yes,13,1,slightly agree,slightly disagree,slightly disagree,slightly disagree,1,slightly disagree,slightly agree,32,male,right-handed,english,1,E2_SH_PUSH_BACK,40.210403442383,-74.827796936035,-1,
R_3nqHRaSN8FJonyT,Default Response Set,Anonymous,,,104.53.207.65,0,2019-07-04 09:25:09,2019-07-04 09:27:38,1,1,1,,,,,Friday,,,,Yes,1,no,The hand movement was a bit distracting,Definitely yes,13,1,strongly agree,strongly agree,strongly agree,strongly agree,1,strongly agree,strongly disagree,40,male,left-handed,English,1,E2_SH_PUSH_FORW,29.722900390625,-98.074203491211,-1,
R_8bQiPwju77smEbD,Default Response Set,Anonymous,,,81.171.110.185,0,2019-07-04 09:24:50,2019-07-04 09:28:49,1,1,1,,,,,,friday,,,Yes,once,none,,Definitely yes,13,1,slightly agree,strongly agree,slightly agree,strongly agree,1,strongly agree,slightly agree,26,male,right-handed,English,1,E2_SH_PUSH_BACK,38.832000732422,-77.120002746582,-1,
R_6gq1PJpdFpvh90R,Default Response Set,Anonymous,,,71.61.130.194,0,2019-07-04 09:28:19,2019-07-04 09:30:18,1,1,1,,,,friday,,,,,Yes,1,none,none,Probably yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,48,male,right-handed,English ,1,E2_TH_FLAT_BACK,40.992202758789,-80.328399658203,-1,
R_vC4ztDkdf1hfRsd,Default Response Set,Anonymous,,,47.184.5.9,0,2019-07-04 09:28:49,2019-07-04 09:30:28,1,1,1,,,friday,,,,,,Yes,1,no,no,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,20,male,right-handed,English,1,E2_TH_FLAT_FORW,33.003601074219,-96.883399963379,-1,
R_31jFLIKjCrjg4mw,Default Response Set,Anonymous,,,67.204.179.126,0,2019-07-04 09:28:12,2019-07-04 09:30:29,1,1,1,,,,,,,Monday,,Yes,3,No,I like his accent,Definitely yes,13,1,slightly agree,strongly agree,slightly agree,slightly agree,1,strongly agree,strongly agree,22,male,left-handed,English,1,E2_TH_PUSH_FORW,44.091506958008,-121.40730285645,-1,
R_cLVFu4UEznCgOR3,Default Response Set,Anonymous,,,75.4.216.39,0,2019-07-04 09:28:06,2019-07-04 09:30:43,1,1,1,,,Saturday?,,,,,,Yes,2,"Yes, it didn't play correctly the first time.",The video is a bit confusing. He states the meeting has been moved forward two days? Unsure if that means a day of the week or a date?,Definitely yes,13,1,strongly agree,strongly agree,strongly agree,strongly agree,1,slightly agree,slightly disagree,37,female,right-handed,English,1,E2_TH_FLAT_FORW,34.003402709961,-84.460502624512,-1,
R_2BgSywMtFL18Ktr,Default Response Set,Anonymous,,,73.246.98.161,0,2019-07-04 09:28:33,2019-07-04 09:31:01,1,1,1,Friday,,,,,,,,Yes,2,no,No,Definitely yes,13,1,strongly agree,strongly agree,strongly agree,strongly agree,1,slightly agree,strongly disagree,39,male,left-handed,English,1,E2_SH_FLAT_FORW,41.945007324219,-87.799598693848,-1,
R_25YkWjmo3HUf7bW,Default Response Set,Anonymous,,,72.182.160.80,0,2019-07-04 09:28:17,2019-07-04 09:31:24,1,1,1,Tuesday,,,,,,,,Yes,1,no,,Probably yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,30,male,left-handed,english,1,E2_SH_FLAT_FORW,32.660903930664,-97.034202575684,-1,
R_2SIcYNvtecik8tG,Default Response Set,Anonymous,,,199.116.115.148,0,2019-07-04 09:16:02,2019-07-04 09:32:23,1,1,1,,,,,,,Saturday,,Yes,4,no,,Definitely yes,13,1,slightly agree,strongly agree,slightly agree,slightly agree,1,slightly agree,slightly agree,26,male,right-handed,English,1,E2_TH_PUSH_FORW,33.755294799805,-84.388603210449,-1,
R_3kERhF9UQiLBIiT,Default Response Set,Anonymous,,,99.61.181.109,0,2019-07-04 09:31:47,2019-07-04 09:33:56,1,1,1,,,,,Friday,,,,Yes,2,No,His accent wasn't very understandable at first.,Definitely yes,13,1,slightly disagree,slightly agree,slightly disagree,slightly disagree,1,slightly agree,slightly disagree,51,female,left-handed,English,1,E2_SH_PUSH_FORW,31.725692749023,-94.621200561523,-1,
R_3m3vhimg2An8wgq,Default Response Set,Anonymous,,,162.205.160.44,0,2019-07-04 09:33:02,2019-07-04 09:35:02,1,1,1,,,,friday,,,,,Yes,1,no,not really,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,strongly disagree,42,male,right-handed,English,1,E2_TH_FLAT_BACK,37.143997192383,-94.472702026367,-1,
R_11ilHth9jOTkUo1,Default Response Set,Anonymous,,,45.23.30.121,0,2019-07-04 09:33:06,2019-07-04 09:36:30,1,1,1,,,,,,,Friday,,Yes,1,no,He seemed to emphasize a lot with his hands to be clear.,Definitely yes,13,1,strongly agree,strongly agree,strongly agree,strongly agree,1,slightly agree,slightly disagree,26,female,right-handed,English,1,E2_TH_PUSH_FORW,39.71549987793,-84.163696289062,-1,
R_1eE1R0CqaE8Lb7Q,Default Response Set,Anonymous,,,24.177.231.79,0,2019-07-04 09:35:25,2019-07-04 09:36:52,1,1,1,Saturday,,,,,,,,Yes,1,no,no,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly disagree,slightly agree,26,male,right-handed,english,1,E2_SH_FLAT_FORW,35.711303710938,-82.546699523926,-1,
R_8fdBAVGp0xs6Prr,Default Response Set,Anonymous,,,73.18.121.228,0,2019-07-04 09:34:50,2019-07-04 09:39:12,1,1,1,,,,,,,,Monday,Yes,2,no,no,Probably yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly agree,24,male,right-handed,English,1,E2_TWO_PUSH_BACK,42.928497314453,-83.633201599121,-1,
R_2P88bex9aa41tMy,Default Response Set,Anonymous,,,68.8.163.160,0,2019-07-04 09:41:19,2019-07-04 09:42:25,1,1,1,,,,,Monday,,,,Yes,1,none,No issues,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,37,male,right-handed,English,1,E2_SH_PUSH_FORW,32.740493774414,-117.09349822998,-1,
R_3fWc8N7mFp1LVQA,Default Response Set,Anonymous,,,97.124.179.161,0,2019-07-04 09:41:25,2019-07-04 09:43:05,1,1,1,,,,,,,,Friday,Yes,2,none,none,Probably yes,13,1,slightly agree,slightly disagree,slightly agree,slightly agree,1,slightly agree,slightly disagree,27,male,left-handed,English,1,E2_TWO_PUSH_BACK,33.598205566406,-112.37239837646,-1,
R_3OfwgctDGLkz4K5,Default Response Set,Anonymous,,,50.110.37.12,0,2019-07-04 09:41:15,2019-07-04 09:43:38,1,1,1,,,Friday,,,,,,Yes,1,No,Yes they were a little hard to understand but I got it.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,strongly agree,strongly disagree,27,male,ambidextrous,English,1,E2_TH_FLAT_FORW,38.414199829102,-81.758201599121,-1,
R_2PoHf257XpdgFeq,Default Response Set,Anonymous,,,174.208.11.16,0,2019-07-04 09:41:38,2019-07-04 09:43:51,1,1,1,,,,Friday,,,,,Yes,1,No,,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,43,male,right-handed,English,1,E2_TH_FLAT_BACK,43.616500854492,-116.20010375977,-1,
R_9yrh9o8jWlDxSEh,Default Response Set,Anonymous,,,97.113.17.157,0,2019-07-04 09:43:08,2019-07-04 09:44:47,1,1,1,,,Friday,,,,,,Yes,2,No,It was somewhat difficult to understand him the first time so I had to watch it twice.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,30,male,right-handed,English,1,E2_TH_FLAT_FORW,47.610900878906,-122.33029937744,-1,
R_1g7oW79rl2Tsc3A,Default Response Set,Anonymous,,,24.127.53.29,0,2019-07-04 09:42:19,2019-07-04 09:44:53,1,1,1,,Monday,,,,,,,Yes,2,No,No,Probably yes,13,1,strongly agree,slightly agree,strongly agree,slightly agree,1,slightly agree,slightly disagree,30,male,right-handed,English,1,E2_SH_FLAT_BACK,42.244003295898,-83.582298278809,-1,
R_3fqPzGCQVlOB1uB,Default Response Set,Anonymous,,,97.115.203.219,0,2019-07-04 09:46:15,2019-07-04 09:50:32,1,1,1,,Monday,,,,,,,Yes,1,no,he said forward but motioned back,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,strongly disagree,strongly agree,52,male,right-handed,English,1,E2_SH_FLAT_BACK,45.480392456055,-122.58909606934,-1,
R_p9Rrlql58yZgmmB,Default Response Set,Anonymous,,,45.33.3.164,0,2019-07-04 09:48:33,2019-07-04 09:52:25,1,1,1,,,saturday,,,,,,Yes,5,no,no,Definitely yes,13,1,slightly agree,strongly agree,slightly agree,slightly agree,1,slightly disagree,strongly agree,26,female,right-handed,english,1,E2_TH_FLAT_FORW,32.778701782227,-96.821701049805,-1,
R_6FpnqPjA0Gm4vZv,Default Response Set,Anonymous,,,45.29.41.177,0,2019-07-04 09:51:51,2019-07-04 09:53:06,1,1,1,,,,,In 2 Business days,,,,Yes,3,,no,Definitely yes,13,1,strongly disagree,slightly disagree,slightly disagree,slightly disagree,1,slightly disagree,slightly agree,30,male,ambidextrous,English,1,E2_SH_PUSH_FORW,32.864593505859,-96.788398742676,-1,
R_2bIrt1Z3IRu5XEI,Default Response Set,Anonymous,,,104.63.94.49,0,2019-07-04 09:51:46,2019-07-04 09:53:21,1,1,1,,,,Monday ,,,,,Yes,1,no ,none,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,strongly agree,strongly disagree,49,male,right-handed,English,1,E2_TH_FLAT_BACK,42.615997314453,-83.925003051758,-1,
R_2UYHuCPyGDJUH4k,Default Response Set,Anonymous,,,73.101.48.132,0,2019-07-04 09:51:25,2019-07-04 09:53:26,1,1,1,,,,Monday,,,,,Yes,2,no,Very animated,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,38,male,ambidextrous,english,1,E2_TH_FLAT_BACK,39.76350402832,-77.567398071289,-1,
R_3q8Qh1flMuMzLfw,Default Response Set,Anonymous,,,24.175.68.0,0,2019-07-04 09:52:38,2019-07-04 09:53:29,1,1,1,,Monday,,,,,,,Yes,2,No,No,Definitely yes,13,1,slightly disagree,slightly disagree,slightly disagree,slightly disagree,1,strongly disagree,strongly agree,27,female,right-handed,English,1,E2_SH_FLAT_BACK,25.971694946289,-97.469902038574,-1,
R_3Jx714IaAfmNtfw,Default Response Set,Anonymous,,,47.34.130.38,0,2019-07-04 09:51:43,2019-07-04 09:53:29,1,1,1,,Monday,,,,,,,Yes,1,No,No,Probably yes,13,1,slightly disagree,slightly disagree,slightly disagree,slightly disagree,1,slightly disagree,slightly agree,39,male,left-handed,English,1,E2_SH_FLAT_BACK,34.261001586914,-116.81309509277,-1,
R_2eUTPJeq5g6r2Zk,Default Response Set,Anonymous,,,162.249.112.123,0,2019-07-04 09:51:50,2019-07-04 09:53:42,1,1,1,,,Monday,,,,,,Yes,2,No,,Definitely yes,13,1,slightly agree,slightly disagree,slightly disagree,slightly disagree,1,slightly agree,slightly disagree,22,female,right-handed,English,1,E2_TH_FLAT_FORW,43.605499267578,-84.779602050781,-1,
R_8wSvq85dlCGlSzn,Default Response Set,Anonymous,,,99.102.123.35,0,2019-07-04 09:51:49,2019-07-04 09:54:42,1,1,1,,,,Monday,,,,,Yes,2,0,I had to watch twice to see whether it was forward or back because to the hand gestures.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,strongly agree,1,slightly agree,slightly disagree,34,female,left-handed,English,1,E2_TH_FLAT_BACK,34.880706787109,-92.23030090332,-1,
R_5w17Py2GLo4xmBr,Default Response Set,Anonymous,,,23.243.154.139,0,2019-07-04 09:50:17,2019-07-04 09:54:57,1,1,1,,,,,,,2 days earlier than when it was orginally scheduled.,,Yes,1,No,,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,65,male,right-handed,English,1,E2_TH_PUSH_FORW,33.895095825195,-118.29100036621,-1,
R_2aWAIXyrGcUGIl3,Default Response Set,Anonymous,,,98.1.14.122,0,2019-07-04 09:52:54,2019-07-04 09:54:58,1,1,1,,,Friday,,,,,,Yes,1,no,forward is ambiguos,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,strongly disagree,strongly agree,50,male,right-handed,"end, ger",1,E2_TH_FLAT_FORW,43.213806152344,-77.457496643066,-1,
R_3sv0fraSjLKXtmj,Default Response Set,Anonymous,,,35.136.85.173,0,2019-07-04 09:52:01,2019-07-04 09:55:00,1,1,1,,,,,,,saturday,,Yes,3 times,the guy had a speech problem,watch the video,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,23,female,right-handed,English,1,E2_TH_PUSH_FORW,28.350601196289,-82.628799438477,-1,
R_3fAWkZsLZcQB4uE,Default Response Set,Anonymous,,,71.62.236.2,0,2019-07-04 09:52:00,2019-07-04 09:55:03,1,1,1,It is on Monday.,,,,,,,,Yes,1 time,no,Did he have an accent? I had to think for a second about what was said.,Definitely yes,13,1,slightly agree,strongly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,36,male,right-handed,English,1,E2_SH_FLAT_FORW,37.253204345703,-80.434700012207,-1,
R_2QQju3oCOg5gSNE,Default Response Set,Anonymous,,,32.213.218.41,0,2019-07-04 09:53:01,2019-07-04 09:55:20,1,1,1,,,,Monday,,,,,Yes,2,No,,Definitely yes,13,1,strongly disagree,slightly disagree,slightly disagree,slightly disagree,1,slightly agree,slightly disagree,64,male,right-handed,English,1,E2_TH_FLAT_BACK,41.552093505859,-73.208297729492,-1,
R_1Q5BxRjV7la8v90,Default Response Set,Anonymous,,,142.196.231.97,0,2019-07-04 09:53:51,2019-07-04 09:55:21,1,1,1,thank you,,,,,,,,No,p,y,thank you,Definitely not,13,1,slightly disagree,slightly agree,slightly disagree,strongly disagree,1,strongly disagree,slightly disagree,57,female,right-handed,engish,1,E2_SH_FLAT_FORW,28.652893066406,-81.210601806641,-1,
R_25sFn2Y2So8Hxcq,Default Response Set,Anonymous,,,67.167.189.50,0,2019-07-04 09:52:29,2019-07-04 09:55:27,1,1,1,,,,,Friday,,,,Yes,3 times,No,"I noticed he said forward 2 days but was holding up 5 fingers, which threw me  off a bit ",Definitely yes,13,1,slightly disagree,slightly agree,slightly disagree,slightly disagree,1,strongly agree,strongly disagree,28,male,right-handed,English,1,E2_SH_PUSH_FORW,42.195495605469,-83.489402770996,-1,
R_3MrsuRjJiq30RT0,Default Response Set,Anonymous,,,50.27.110.238,0,2019-07-04 09:53:34,2019-07-04 09:55:36,1,1,1,,,,,,,,Saturday,Yes,1,no,,Definitely yes,12,1,slightly agree,slightly agree,slightly disagree,slightly disagree,1,slightly agree,slightly disagree,23,female,right-handed,english,1,E2_TWO_PUSH_BACK,32.016204833984,-102.15149688721,-1,
R_33COB12f9AwQmZK,Default Response Set,Anonymous,,,72.132.148.59,0,2019-07-04 09:52:34,2019-07-04 09:55:37,1,1,1,,,Friday,,,,,,Yes,2,No,I wasn't prepared for the accent. Had to watch the video twice.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly disagree,slightly agree,47,male,right-handed,English,1,E2_TH_FLAT_FORW,33.924194335938,-116.88539886475,-1,
R_O0XwzW7y7VNFNG9,Default Response Set,Anonymous,,,69.142.141.57,0,2019-07-04 09:53:14,2019-07-04 09:55:40,1,1,1,,,,,Next Friday,,,,Yes,2,No,"I thought he spoke a bit quickly, but was still fairly easy to understand.",Definitely yes,13,1,slightly agree,slightly agree,strongly agree,strongly agree,1,slightly disagree,slightly agree,25,male,right-handed,English,1,E2_SH_PUSH_FORW,40.444396972656,-74.380096435547,-1,
R_1dK8AmvR1kQLnMX,Default Response Set,Anonymous,,,68.11.147.196,0,2019-07-04 09:52:30,2019-07-04 09:55:44,1,1,1,,,,,,Friday,,,Yes,twice,no,I was able to hear it clear the 2nd time,Definitely yes,13,1,slightly agree,slightly agree,strongly agree,strongly agree,1,slightly agree,slightly disagree,20,female,right-handed,English,1,E2_SH_PUSH_BACK,30.448501586914,-91.129997253418,-1,
R_1CJiK1B978NVmqA,Default Response Set,Anonymous,,,65.27.109.126,0,2019-07-04 09:52:30,2019-07-04 09:55:46,1,1,1,,,,Monday,,,,,Yes,2,No,The person spoke quite quickly.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,40,male,ambidextrous,English ,1,E2_TH_FLAT_BACK,44.268203735352,-88.426498413086,-1,
R_2QLF7g6ywXxb0Lh,Default Response Set,Anonymous,,,68.63.232.46,0,2019-07-04 09:52:36,2019-07-04 09:55:48,1,1,1,,,,,,,Friday,,Yes,1,no,accent hard to understand,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly disagree,slightly disagree,72,female,left-handed,English,1,E2_TH_PUSH_FORW,33.272201538086,-87.536003112793,-1,
R_3ktccKc8KRqctYQ,Default Response Set,Anonymous,,,35.132.166.226,0,2019-07-04 09:53:36,2019-07-04 09:55:56,1,1,1,,,,,,,Friday,,Yes,1,No,No,Definitely yes,13,1,strongly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly agree,22,female,left-handed,English,1,E2_TH_PUSH_FORW,43.988098144531,-124.09930419922,-1,
R_1eRYV0MalELpi3v,Default Response Set,Anonymous,,,73.155.72.100,0,2019-07-04 09:51:31,2019-07-04 09:56:15,1,1,1,Friday,,,,,,,,Yes,2,no,It was kind of hard to understand him because his accent felt a little thick.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,strongly agree,1,slightly agree,slightly disagree,36,male,right-handed,English,1,E2_SH_FLAT_FORW,29.650100708008,-95.188499450684,-1,
R_cBxt9HFRUC7OdmV,Default Response Set,Anonymous,,,69.253.102.211,0,2019-07-04 09:54:20,2019-07-04 09:56:35,1,1,1,,,,,friday,,,,Yes,1,no,"not really, when he started speaking i was afraid his accent would be hard for me, but I understood well enough",Definitely yes,13,1,strongly agree,strongly agree,strongly agree,strongly agree,1,slightly disagree,slightly agree,34,male,right-handed,english,1,E2_SH_PUSH_FORW,39.984497070312,-75.585998535156,-1,
R_3I9liXkhE0N5j1Q,Default Response Set,Anonymous,,,196.17.250.101,0,2019-07-04 09:52:15,2019-07-04 09:56:43,1,1,1,,,,,,,,speak english,Yes,1,1,thanks given this survey,Probably yes,13,1,slightly agree,strongly agree,slightly agree,strongly agree,1,slightly agree,strongly agree,54,female,right-handed,english,1,E2_TWO_PUSH_BACK,39.099700927734,-94.578598022461,-1,
R_21aKIFCURYtl9FI,Default Response Set,Anonymous,,,108.213.140.246,0,2019-07-04 09:54:35,2019-07-04 09:57:34,1,1,1,,,,monday,,,,,Yes,2,no,none,Definitely yes,13,1,slightly disagree,slightly disagree,slightly disagree,slightly disagree,1,slightly disagree,slightly agree,53,male,right-handed,english,1,E2_TH_FLAT_BACK,29.873794555664,-95.523300170898,-1,
R_1gbGQUxVe33J8qo,Default Response Set,Anonymous,,,108.185.242.251,0,2019-07-04 09:56:01,2019-07-04 09:58:08,1,1,1,,,,,,,Friday,,Yes,One,None,He was a fast talker and explained the change very quickly. ,Definitely yes,13,1,slightly agree,slightly agree,slightly disagree,slightly disagree,1,slightly agree,slightly disagree,22,female,right-handed,English,1,E2_TH_PUSH_FORW,34.412994384766,-118.4268951416,-1,
R_1pnYN1YpSsIvxtz,Default Response Set,Anonymous,,,107.174.14.221,0,2019-07-04 09:53:13,2019-07-04 09:58:19,1,1,1,,,,,,,,THIS MAN GREETS US TO A TASK,Yes,3,NO,NO,Definitely yes,13,1,slightly agree,strongly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,29,male,right-handed,ENGLISH,1,E2_TWO_PUSH_BACK,32.778701782227,-96.821701049805,-1,
R_3isRqVnypolCL62,Default Response Set,Anonymous,,,76.105.14.4,0,2019-07-04 09:53:58,2019-07-04 09:58:46,1,1,1,,,,,,,,Saturday,Yes,once,nope,he was a little unintelligible- kind of fast muttering.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly disagree,slightly disagree,54,male,right-handed,English,1,E2_TWO_PUSH_BACK,38.684097290039,-121.06759643555,-1,
R_1FIMLZHvWNQ0JJh,Default Response Set,Anonymous,,,50.42.81.217,0,2019-07-04 09:54:02,2019-07-04 09:58:48,1,1,1,,,,,,tomorrow,,,Yes,1,no,"He used quite confusing body language.  And language in general, saying the meeting has been moved forward, but if it was yesterday's meeting that would put it in the past tense. I assumed he was misspeaking and that meant the meeting had been pushed back two days. However, that also could have been a wildly complicated way to say the meeting was canceled.",Definitely yes,13,1,slightly disagree,slightly agree,slightly disagree,slightly disagree,1,slightly disagree,slightly agree,28,female,right-handed,English,1,E2_SH_PUSH_BACK,36.052703857422,-85.013801574707,-1,
R_bIyB40z6kGIpZId,Default Response Set,Anonymous,,,108.244.83.203,0,2019-07-04 09:56:58,2019-07-04 09:58:55,1,1,1,,,,,Friday,,,,Yes,1,no,spoke rather quickly,Probably yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly disagree,slightly agree,38,male,right-handed,English,1,E2_SH_PUSH_FORW,32.861892700195,-97.342697143555,-1,
R_Usc1fkvNiHxzC4V,Default Response Set,Anonymous,,,23.27.248.190,0,2019-07-04 09:55:30,2019-07-04 09:59:09,1,1,1,,,,,,sunday,,,Yes,1,no,none,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,24,female,right-handed,English,1,E2_SH_PUSH_BACK,25.77409362793,-80.181701660156,-1,
R_2EAVpmp6ScpP2Iz,Default Response Set,Anonymous,,,184.155.37.196,0,2019-07-04 09:57:08,2019-07-04 09:59:12,1,1,1,,,,,,,,Monday,Yes,1,no,,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly disagree,slightly agree,39,male,right-handed,English,1,E2_TWO_PUSH_BACK,32.850402832031,-109.74610137939,-1,
R_diYriQdVgqUyji9,Default Response Set,Anonymous,,,67.184.241.55,0,2019-07-04 09:57:59,2019-07-04 09:59:56,1,1,1,,,,,,,saturday,,Yes,2,na,"it was hard to understand him, maybe his accent",Definitely yes,13,1,strongly agree,strongly agree,slightly agree,slightly agree,1,slightly agree,strongly disagree,30,male,left-handed,english,1,E2_TH_PUSH_FORW,41.509201049805,-87.593803405762,-1,
R_9pdXc6KNRh5B2r7,Default Response Set,Anonymous,,,173.172.151.222,0,2019-07-04 09:51:29,2019-07-04 09:59:59,1,1,1,,,,,,,10,,Yes,2,no,No,Probably yes,13,1,strongly agree,slightly agree,slightly agree,strongly agree,1,slightly agree,slightly agree,37,female,right-handed,Telugu,1,E2_TH_PUSH_FORW,32.866592407227,-96.992698669434,-1,
R_21hs2r1TEoHQifw,Default Response Set,Anonymous,,,108.197.193.199,0,2019-07-04 09:56:27,2019-07-04 10:01:25,1,1,1,,,,Wednesday,,,,,Yes,Once,No,,Probably not,13,1,slightly disagree,slightly agree,slightly disagree,slightly disagree,1,slightly agree,slightly disagree,37,male,right-handed,English,1,E2_TH_FLAT_BACK,36.134094238281,-96.142601013184,-1,
R_3PaXS0Xl9jx950k,Default Response Set,Anonymous,,,98.192.156.105,0,2019-07-04 10:00:00,2019-07-04 10:02:07,1,1,1,Monday,,,,,,,,Yes,Twice,None,None,Definitely yes,13,1,slightly agree,slightly disagree,slightly disagree,slightly disagree,1,slightly agree,slightly disagree,41,female,right-handed,English,1,E2_SH_FLAT_FORW,30.480499267578,-84.224296569824,-1,
R_3iR67wwnsuby0FX,Default Response Set,Anonymous,,,104.243.210.151,0,2019-07-04 09:55:47,2019-07-04 10:02:28,1,1,1,,,,,monday,,,,Maybe,3,low audibility,,Probably yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,33,female,right-handed,english,1,E2_SH_PUSH_FORW,51.299301147461,9.4909973144531,-1,
R_2sbFmq0NDCDZc7Q,Default Response Set,Anonymous,,,24.214.209.165,0,2019-07-04 10:01:43,2019-07-04 10:03:40,1,1,1,,,,,,,,friday,Yes,one,"i didn't initially /clearly hear what day he said, but I thought he said monday",,Probably yes,13,1,slightly disagree,slightly disagree,slightly disagree,slightly disagree,1,slightly agree,slightly disagree,31,male,right-handed,english,1,E2_TWO_PUSH_BACK,27.884002685547,-82.80249786377,-1,
