V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,Instructions,E2_SH_FLAT_FORW,E2_SH_FLAT_BACK,E2_TH_FLAT_FORW,E2_TH_FLAT_BACK,E2_SH_PUSH_FORW,E2_SH_PUSH_BACK,E2_TH_PUSH_FORW,E2_TWO_PUSH_BACK,VideoCompletion,VideoNTimes,VideoIssues,OpenEnded,GestureNotice,MathQuestion,TransitionPerson,Likeability,Approachability,Warm,Friendly,TransitionAQ,AQ1_face,AQ2_face,age,gender,handedness,language,ThankYou,DO-BR-FL_10,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,CONSENT   This study investigates language and perception. You will be asked to look at a picture...,"INSTRUCTIONS   On the next screen, you will see a video of a person. Please make sure that your a...",Response:,Response:,Response:,Response:,Response:,Response:,Response:,Response:,Were you able to view the video completely?,"If you were able to view the video, how many times did you view it?",Were there any video or audio issues that you were aware of?,"Any observations, thoughts, ideas you want to share with us about the person you just saw or the...",Did you notice the person's gestures?,What is 9 + 4?,The next four questions are about the person in the video:,The person in the video is likeable.  ,The person in the video is approachable.,The person in the video is warm.,The person in the video is friendly.,The next two questions are about yourself:,I find it easy to work out what someone is thinking or feeling just by looking at their face.,I find it difficult to work out people’s intentions.,What is your age?,What is your gender?,Are you left or right-handed?,What is your native language / your native languages?   Your native language(s) is what you spoke...,You completed our survey! Please follow the link below to retrieve the access code for this HIT:...,Display Order: Block Randomizer FL_10,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1CyxZscY4WI3F6P,Default Response Set,Anonymous,,,108.30.21.41,0,2019-07-04 07:57:56,2019-07-04 08:03:28,1,1,1,,,,,,,Friday,,Yes,1,Audio was very quiet.,He was hard to understand.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly disagree,slightly agree,44,female,left-handed,English,1,E2_TH_PUSH_FORW,40.888107299805,-73.841400146484,-1,
R_9KUki7dddI3zxTP,Default Response Set,Anonymous,,,76.101.176.65,0,2019-07-04 08:06:33,2019-07-04 08:08:25,1,1,1,,,,,,Monday,,,Yes,1,No,No,Definitely yes,13,1,slightly disagree,slightly disagree,slightly disagree,slightly agree,1,slightly disagree,slightly agree,40,female,left-handed,English,1,E2_SH_PUSH_BACK,25.93879699707,-81.696800231934,-1,
R_3lLbeVlEwPXtLxc,Default Response Set,Anonymous,,,184.4.120.5,0,2019-07-04 08:06:50,2019-07-04 08:08:47,1,1,1,,,Friday,,,,,,Yes,2,none,They spoke too quickly.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,31,female,right-handed,English,1,E2_TH_FLAT_FORW,28.905899047852,-82.06120300293,-1,
R_1KwdXInagPoez57,Default Response Set,Anonymous,,,71.227.164.109,0,2019-07-04 08:06:46,2019-07-04 08:08:56,1,1,1,,,Monday,,,,,,Yes,2,None,,Definitely yes,13,1,strongly agree,strongly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,55,male,right-handed,English,1,E2_TH_FLAT_FORW,47.312103271484,-122.36610412598,-1,
R_R5oQgEiFv4kPP0J,Default Response Set,Anonymous,,,74.74.73.244,0,2019-07-04 08:09:21,2019-07-04 08:10:33,1,1,1,Friday,,,,,,,,Yes,1,None,,Definitely yes,13,1,slightly agree,strongly agree,strongly agree,slightly agree,1,slightly agree,strongly disagree,27,male,right-handed,English,1,E2_SH_FLAT_FORW,42.327392578125,-77.656898498535,-1,
R_26fGfWMFrp0ZQWP,Default Response Set,Anonymous,,,73.216.26.108,0,2019-07-04 08:13:16,2019-07-04 08:15:39,1,1,1,,,,,,,,Monday,Yes,1,No,The person talked very fast and it was really hard to understand what they said.,Definitely yes,13,1,strongly agree,strongly agree,strongly agree,strongly agree,1,slightly agree,slightly disagree,25,female,right-handed,English,1,E2_TWO_PUSH_BACK,38.070404052734,-78.906700134277,-1,
R_2do9UGP2hJm6kVM,Default Response Set,Anonymous,,,68.40.150.60,0,2019-07-04 08:18:14,2019-07-04 08:21:25,1,1,1,,friday,,,,,,,Yes,2,No,Speaker in the video could slow down his talking thats all,Probably yes,13,1,slightly agree,slightly disagree,slightly disagree,slightly disagree,1,slightly disagree,slightly agree,27,male,left-handed,English,1,E2_SH_FLAT_BACK,42.357498168945,-83.216201782227,-1,
R_3NyyW0fMYI09NtZ,Default Response Set,Anonymous,,,70.95.73.142,0,2019-07-04 08:13:40,2019-07-04 08:23:50,1,1,1,,,,Next Monday,,,,,Yes,3,None,The person's hand gesture was very exaggerated and slightly unnatural.  It was more distracting than helpful and distracted me from what he was actually saying about the meeting moving forward.,Definitely yes,13,1,slightly disagree,slightly disagree,slightly disagree,slightly disagree,1,slightly agree,strongly disagree,40,male,right-handed,English,1,E2_TH_FLAT_BACK,32.951095581055,-117.22409820557,-1,
R_31Y2CGyQt2jZxzP,Default Response Set,Anonymous,,,73.155.50.63,0,2019-07-04 08:54:31,2019-07-04 08:55:35,1,1,1,,,,,,Friday,,,Yes,2,No,,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,28,male,right-handed,English,1,E2_SH_PUSH_BACK,30.212097167969,-95.526298522949,-1,
R_2BlDLWEhGDOjFYN,Default Response Set,Anonymous,,,75.38.199.2,0,2019-07-04 08:54:20,2019-07-04 08:55:43,1,1,1,,,,,,,,Saturday,Yes,Once,No,N/A,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,29,male,right-handed,English,1,E2_TWO_PUSH_BACK,42.244003295898,-83.582298278809,-1,
